0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 16056
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:10 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 20560
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:16:30 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 200 28779
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 24960
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:03 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "POST /ASM_Java4/admin/products/store HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/index HTTP/1.1" 200 29357
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-area-demo.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/js/scripts.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/assets/demo/chart-bar-demo.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/admin/products/js/datatables-simple-demo.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:37 +0700] "GET /ASM_Java4/image/s5.jpg HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/users/index HTTP/1.1" 200 13489
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/jquery-ui.min.js HTTP/1.1" 200 237108
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/css/form.css HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/css3-mediaqueries.js HTTP/1.1" 200 16017
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/fwslider.js HTTP/1.1" 200 8783
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/css/fwslider.css HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/css/default.css HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/css/nivo-slider.css HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/js/jquery.nivo.slider.js HTTP/1.1" 200 29113
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/image/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/images/t-img3.jpg HTTP/1.1" 200 37075
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/images/t-img2.jpg HTTP/1.1" 200 25426
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:52 +0700] "GET /ASM_Java4/Views/images/t-img1.jpg HTTP/1.1" 200 34863
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:53 +0700] "GET /ASM_Java4/Views/images/cart2.png HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:53 +0700] "GET /ASM_Java4/Views/css/loading.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:53 +0700] "GET /ASM_Java4/Views/images/cart3.png HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:17:53 +0700] "GET /ASM_Java4/Views/images/l-r-arrows.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:09 +0700] "GET /ASM_Java4/users/history HTTP/1.1" 200 11295
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:16 +0700] "GET /ASM_Java4/admin/orders/dagiao HTTP/1.1" 200 8281
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:16 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:16 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:16 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:16 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:22 +0700] "GET /ASM_Java4/admin/orders/xacnhan HTTP/1.1" 200 8280
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:22 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:22 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:22 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:22 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:28 +0700] "GET /ASM_Java4/users/chitiet?id=1 HTTP/1.1" 200 9733
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:34 +0700] "GET /ASM_Java4/users/huy?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:34 +0700] "GET /ASM_Java4/users/history HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:35 +0700] "GET /ASM_Java4/users/chitiet?id=1 HTTP/1.1" 200 9733
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:39 +0700] "GET /ASM_Java4/admin/orders/dahuy HTTP/1.1" 200 8280
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:39 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:39 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:39 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:39 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:42 +0700] "GET /ASM_Java4/admin/orders/xacnhan HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:42 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:42 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:42 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:42 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:44 +0700] "GET /ASM_Java4/admin/orders/dahuy HTTP/1.1" 200 8280
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:44 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:44 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:44 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:44 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:49 +0700] "GET /ASM_Java4/admin/orders/dagiao HTTP/1.1" 200 8281
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:49 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:49 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:49 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:49 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:55 +0700] "GET /ASM_Java4/admin/orders/xacnhan HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:55 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:55 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:55 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:55 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:58 +0700] "GET /ASM_Java4/admin/orders/dahuy HTTP/1.1" 200 8280
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:58 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:58 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:58 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:07:18:58 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:17 +0700] "GET /ASM_Java4/users/index HTTP/1.1" 200 13393
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:18 +0700] "GET /ASM_Java4/image/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:18 +0700] "GET /ASM_Java4/image/pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:18 +0700] "GET /ASM_Java4/image/a-img1.jpg HTTP/1.1" 304 -
